Year,AdminCity,City,Population,Male,Female,Latitude,Longitude
2011,Kyustendil,Boboshevo,1224,564,660,42.1461,23.0708
2011,Kyustendil,Dupnitsa,33205,16003,17202,42.2667,23.1167
2011,Kyustendil,Kocherinovo,2332,1111,1221,42.1167,23.0833
2011,Kyustendil,Kyustendil,44111,21253,22858,42.2833,22.6833
2011,Kyustendil,Rila,2351,1140,1211,42.13,23.3869
2011,Kyustendil,Sapareva Banya,3785,1881,1904,42.2889,23.2672
2011,Lovech,Apriltsi,2969,1442,1527,42.85,24.9167
2011,Lovech,Letnitsa,2653,1315,1338,43.2558,25.0639
2011,Lovech,Lovech,36200,17781,18419,43.1333,24.7167
2011,Lovech,Lukovit,8901,4362,4539,43.2,24.1667
2011,Lovech,Teteven,9686,4770,4916,42.9167,24.2667
2011,Lovech,Troyan,21003,10204,10799,42.89,24.7133
2011,Lovech,Ugarchin,2509,1215,1294,43.1,24.3167
2011,Lovech,Yablanitsa,2854,1435,1419,43.05,24.1
2011,Montana,Berkovitsa,13279,6480,6799,43.2392,23.1272
2011,Montana,Boychinovtsi,1524,771,753,43.4683,23.3044
2011,Montana,Brusartsi,1171,576,595,43.7,23.05
2011,Montana,Valchedram,3594,1742,1852,43.715,23.45
2011,Montana,Varshets,6179,3035,3144,43.1981,23.2875
2011,Montana,Lom,22306,10825,11481,43.8139,23.2369
2011,Montana,Montana,43375,21367,22008,43.4125,23.225
2011,Montana,Chiprovtsi,1839,905,934,43.3844,22.8822
2011,Pazardzhik,Batak,3259,1627,1632,41.9442,24.2181
2011,Pazardzhik,Belovo,3834,1864,1970,42.2122,24.015
2011,Pazardzhik,Bratsigovo,4084,2031,2053,42.0128,24.3742
2011,Pazardzhik,Velingrad,22500,10734,11766,42.0278,23.9908
2011,Pazardzhik,Vetren,3188,1591,1597,42.245,24.0894
2011,Pazardzhik,Kostandovo,4154,2086,2068,42.0656,24.0517
2011,Pazardzhik,Pazardzhik,71437,34783,36654,42.1922,24.3331
2011,Pazardzhik,Panagyurishte,17467,8627,8840,42.5,24.1833
2011,Pazardzhik,Peshtera,16719,8187,8532,42.0347,24.2994
2011,Pazardzhik,Rakitovo,8119,4031,4088,41.9878,24.0861
2011,Pazardzhik,Septemvri,7863,3894,3969,42.2167,24.1
2011,Pazardzhik,Strelcha,4021,1947,2074,42.5,24.3167
2011,Pazardzhik,Sarnitsa,3571,1808,1763,41.7858,24.015
2011,Pernik,Batanovtsi,2277,1122,1155,42.5539,23.0325
2011,Pernik,Breznik,4099,1994,2105,42.7394,22.9078
2011,Pernik,Zemen,1656,822,834,42.48,22.7489
2011,Pernik,Pernik,79169,38347,40822,42.6078,23.0375
2011,Pernik,Radomir,14317,7072,7245,42.5453,22.9775
2011,Pernik,Tran,2427,1220,1207,42.8342,22.6519
2011,Pleven,Belene,8402,4603,3799,43.6511,25.1133
2011,Pleven,Gulyantsi,3158,1546,1612,43.6486,24.7125
2011,Pleven,Dolna Mitropolia,3042,1465,1577,43.4667,24.5333
2011,Pleven,Dolni Dabnik,4161,2029,2132,43.4167,24.4333
2011,Pleven,Iskar,3162,1588,1574,43.4608,24.2686
2011,Pleven,Knezha,10367,5117,5250,43.5,24.0833
2011,Pleven,Koynare,3686,1824,1862,43.3667,24.0833
2011,Pleven,Levski,9804,4770,5034,43.4333,25.1333
2011,Pleven,Nikopol,3171,1557,1614,43.7081,24.8983
2011,Pleven,Pleven,105673,51066,54607,43.4167,24.6167
